%Arquivo de dados
%tempo[s],Valor[A]
0.000184,0.693108
0.000185,0.696868
0.000186,0.700629
0.000187,0.704390
0.000188,0.708150
0.000189,0.711910
0.000190,0.715671
0.000191,0.719431
0.000192,0.723191
0.000193,0.726951
0.000194,0.730711
0.000195,0.734471
0.000196,0.738230
0.000197,0.741990
0.000198,0.745749
0.000199,0.749509
0.000200,0.753268
0.000201,0.757027
0.000202,0.760786
0.000203,0.764545
0.000204,0.768304
0.000205,0.772063
0.000206,0.775821
0.000207,0.779580
0.000208,0.783338
0.000209,0.787096
0.000210,0.790855
0.000211,0.794613
0.000212,0.798371
0.000213,0.802128
0.000214,0.805886
0.000215,0.809644
0.000216,0.813401
0.000217,0.817159
0.000218,0.820916
0.000219,0.824673
0.000220,0.828430
0.000221,0.832187
0.000222,0.835944
0.000223,0.839700
0.000224,0.843457
0.000225,0.847213
0.000226,0.850970
0.000227,0.854726
0.000228,0.858482
0.000229,0.862238
0.000230,0.865993
0.000231,0.869749
0.000232,0.873505
0.000233,0.877260
0.000234,0.881015
0.000235,0.884771
0.000236,0.888526
0.000237,0.892281
0.000238,0.896035
0.000239,0.899790
0.000240,0.903545
0.000241,0.907299
0.000242,0.911053
0.000243,0.914808
0.000244,0.918562
0.000245,0.922316
0.000246,0.926069
0.000247,0.929823
0.000248,0.933577
0.000249,0.937330
0.000250,0.941083
0.000251,0.944836
0.000252,0.948589
0.000253,0.952342
0.000254,0.956095
0.000255,0.959847
0.000256,0.963600
0.000257,0.967352
0.000258,0.971104
0.000259,0.974856
0.000260,0.978608
0.000261,0.982360
0.000262,0.986112
0.000263,0.989863
0.000264,0.993614
0.000265,0.997365
0.000266,1.001117
0.000267,1.004867
0.000268,1.008618
0.000269,1.012369
0.000270,1.016119
0.000271,1.019870
0.000272,1.023620
0.000273,1.027370
0.000274,1.031120
0.000275,1.034869
0.000276,1.038619
0.000277,1.042368
0.000278,1.046118
0.000279,1.049867
0.000280,1.053616
0.000281,1.057365
0.000282,1.061114
0.000283,1.064862
0.000284,1.068610
0.000285,1.072359
0.000286,1.076107
0.000287,1.079855
0.000288,1.083603
0.000289,1.087350
0.000290,1.091098
0.000291,1.094845
0.000292,1.098592
0.000293,1.102339
0.000294,1.106086
0.000295,1.109833
0.000296,1.113579
0.000297,1.117326
0.000298,1.121072
0.000299,1.124818
0.000300,1.128564
0.000301,1.132310
0.000302,1.136055
0.000303,1.139801
0.000304,1.143546
0.000305,1.147291
0.000306,1.151036
0.000307,1.154781
0.000308,1.158525
0.000309,1.162270
0.000310,1.166014
0.000311,1.169758
0.000312,1.173502
0.000313,1.177246
0.000314,1.180989
0.000315,1.184733
0.000316,1.188476
0.000317,1.192219
0.000318,1.195962
0.000319,1.199705
0.000320,1.203448
0.000321,1.207190
0.000322,1.210932
0.000323,1.214674
0.000324,1.218416
0.000325,1.222158
0.000326,1.225900
0.000327,1.229641
0.000328,1.233382
0.000329,1.237123
0.000330,1.240864
0.000331,1.244605
0.000332,1.248345
0.000333,1.252086
0.000334,1.255826
0.000335,1.259566
0.000336,1.263306
0.000337,1.267045
0.000338,1.270785
0.000339,1.274524
0.000340,1.278263
0.000341,1.282002
0.000342,1.285741
0.000343,1.289479
0.000344,1.293217
0.000345,1.296956
0.000346,1.300694
0.000347,1.304431
0.000348,1.308169
0.000349,1.311906
0.000350,1.315644
0.000351,1.319381
0.000352,1.323117
0.000353,1.326854
0.000354,1.330591
0.000355,1.334327
0.000356,1.338063
0.000357,1.341799
0.000358,1.345535
0.000359,1.349270
0.000360,1.353006
0.000361,1.356741
0.000362,1.360476
0.000363,1.364210
0.000364,1.367945
0.000365,1.371679
0.000366,1.375414
0.000367,1.379148
0.000368,1.382881
0.000369,1.386615
0.000370,1.390348
0.000371,1.394082
0.000372,1.397815
0.000373,1.401547
0.000374,1.405280
0.000375,1.409012
0.000376,1.412745
0.000377,1.416477
0.000378,1.420208
0.000379,1.423940
0.000380,1.427671
0.000381,1.431403
0.000382,1.435133
0.000383,1.438864
0.000384,1.442595
0.000385,1.446325
0.000386,1.450055
0.000387,1.453785
0.000388,1.457515
0.000389,1.461245
0.000390,1.464974
0.000391,1.468703
0.000392,1.472432
0.000393,1.476161
0.000394,1.479889
0.000395,1.483618
0.000396,1.487346
0.000397,1.491074
0.000398,1.494801
0.000399,1.498529
0.000400,1.502256
0.000401,1.505983
0.000402,1.509710
0.000403,1.513436
0.000404,1.517163
0.000405,1.520889
0.000406,1.524615
0.000407,1.528341
0.000408,1.532066
0.000409,1.535791
0.000410,1.539516
0.000411,1.543241
0.000412,1.546966
0.000413,1.550690
0.000414,1.554415
0.000415,1.558139
0.000416,1.561862
0.000417,1.565586
0.000418,1.569309
0.000419,1.573032
0.000420,1.576755
0.000421,1.580478
0.000422,1.584200
0.000423,1.587922
0.000424,1.591644
0.000425,1.595366
0.000426,1.599088
0.000427,1.602809
0.000428,1.606530
0.000429,1.610251
0.000430,1.613971
0.000431,1.617692
0.000432,1.621412
0.000433,1.625132
0.000434,1.628851
0.000435,1.632571
0.000436,1.636290
0.000437,1.640009
0.000438,1.643728
0.000439,1.647446
0.000440,1.651165
0.000441,1.654883
0.000442,1.658600
0.000443,1.662318
0.000444,1.666035
0.000445,1.669752
0.000446,1.673469
0.000447,1.677186
0.000448,1.680902
0.000449,1.684619
0.000450,1.688334
0.000451,1.692050
0.000452,1.695766
0.000453,1.699481
0.000454,1.703196
0.000455,1.706910
0.000456,1.710625
0.000457,1.714339
0.000458,1.718053
0.000459,1.721767
0.000460,1.725480
0.000461,1.729194
0.000462,1.732907
0.000463,1.736619
0.000464,1.740332
0.000465,1.744044
0.000466,1.747756
0.000467,1.751468
0.000468,1.755179
0.000469,1.758891
0.000470,1.762602
0.000471,1.766312
0.000472,1.770023
0.000473,1.773733
0.000474,1.777443
0.000475,1.781153
0.000476,1.784862
0.000477,1.788572
0.000478,1.792281
0.000479,1.795989
0.000480,1.799698
0.000481,1.803406
0.000482,1.807114
0.000483,1.810822
0.000484,1.814529
0.000485,1.818236
0.000486,1.821943
0.000487,1.825650
0.000488,1.829356
0.000489,1.833063
0.000490,1.836769
0.000491,1.840474
0.000492,1.844180
0.000493,1.847885
0.000494,1.851590
0.000495,1.855294
0.000496,1.858998
0.000497,1.862703
0.000498,1.866406
0.000499,1.870110
0.000500,1.873813
0.000501,1.877516
0.000502,1.881219
0.000503,1.884921
0.000504,1.888624
0.000505,1.892325
0.000506,1.896027
0.000507,1.899729
0.000508,1.903430
0.000509,1.907131
0.000510,1.910831
0.000511,1.914531
0.000512,1.918231
0.000513,1.921931
0.000514,1.925631
0.000515,1.929330
0.000516,1.933029
0.000517,1.936728
0.000518,1.940426
0.000519,1.944124
0.000520,1.947822
0.000521,1.951519
0.000522,1.955217
0.000523,1.958914
0.000524,1.962610
0.000525,1.966307
0.000526,1.970003
0.000527,1.973699
0.000528,1.977395
0.000529,1.981090
0.000530,1.984785
0.000531,1.988480
0.000532,1.992174
0.000533,1.995868
0.000534,1.999562
0.000535,2.003256
0.000536,2.006949
0.000537,2.010642
0.000538,2.014335
0.000539,2.018028
0.000540,2.021720
0.000541,2.025412
0.000542,2.029103
0.000543,2.032795
0.000544,2.036486
0.000545,2.040177
0.000546,2.043867
0.000547,2.047557
0.000548,2.051247
0.000549,2.054937
0.000550,2.058626
0.000551,2.062315
0.000552,2.066004
0.000553,2.069692
0.000554,2.073380
0.000555,2.077068
0.000556,2.080756
0.000557,2.084443
0.000558,2.088130
0.000559,2.091817
0.000560,2.095503
0.000561,2.099189
0.000562,2.102875
0.000563,2.106560
0.000564,2.110245
0.000565,2.113930
0.000566,2.117615
0.000567,2.121299
0.000568,2.124983
0.000569,2.128667
0.000570,2.132350
0.000571,2.136033
0.000572,2.139716
0.000573,2.143398
0.000574,2.147081
0.000575,2.150762
0.000576,2.154444
0.000577,2.158125
0.000578,2.161806
0.000579,2.165487
0.000580,2.169167
0.000581,2.172847
0.000582,2.176527
0.000583,2.180206
0.000584,2.183885
0.000585,2.187564
0.000586,2.191242
0.000587,2.194920
0.000588,2.198598
0.000589,2.202276
0.000590,2.205953
0.000591,2.209630
0.000592,2.213306
0.000593,2.216983
0.000594,2.220659
0.000595,2.224334
0.000596,2.228010
0.000597,2.231685
0.000598,2.235359
0.000599,2.239034
0.000600,2.242708
0.000601,2.246381
0.000602,2.250055
0.000603,2.253728
0.000604,2.257401
0.000605,2.261073
0.000606,2.264745
0.000607,2.268417
0.000608,2.272088
0.000609,2.275760
0.000610,2.279430
0.000611,2.283101
0.000612,2.286771
0.000613,2.290441
0.000614,2.294110
0.000615,2.297780
0.000616,2.301449
0.000617,2.305117
0.000618,2.308785
0.000619,2.312453
0.000620,2.316121
0.000621,2.319788
0.000622,2.323455
0.000623,2.327121
0.000624,2.330788
0.000625,2.334454
0.000626,2.338119
0.000627,2.341784
0.000628,2.345449
0.000629,2.349114
0.000630,2.352778
0.000631,2.356442
0.000632,2.360106
0.000633,2.363769
0.000634,2.367432
0.000635,2.371094
0.000636,2.374757
0.000637,2.378419
0.000638,2.382080
0.000639,2.385741
0.000640,2.389402
0.000641,2.393063
0.000642,2.396723
0.000643,2.400383
0.000644,2.404042
0.000645,2.407702
0.000646,2.411360
0.000647,2.415019
0.000648,2.418677
0.000649,2.422335
0.000650,2.425992
0.000651,2.429649
0.000652,2.433306
0.000653,2.436963
0.000654,2.440619
0.000655,2.444274
0.000656,2.447930
0.000657,2.451585
0.000658,2.455240
0.000659,2.458894
0.000660,2.462548
0.000661,2.466202
0.000662,2.469855
0.000663,2.473508
0.000664,2.477160
0.000665,2.480813
0.000666,2.484464
0.000667,2.488116
0.000668,2.491767
0.000669,2.495418
0.000670,2.499068
0.000671,2.502719
0.000672,2.506368
0.000673,2.510018
0.000674,2.513667
0.000675,2.517315
0.000676,2.520964
0.000677,2.524612
0.000678,2.528259
0.000679,2.531907
0.000680,2.535554
0.000681,2.539200
0.000682,2.542846
0.000683,2.546492
0.000684,2.550138
0.000685,2.553783
0.000686,2.557427
0.000687,2.561072
0.000688,2.564716
0.000689,2.568359
0.000690,2.572003
0.000691,2.575645
0.000692,2.579288
0.000693,2.582930
0.000694,2.586572
0.000695,2.590213
0.000696,2.593854
0.000697,2.597495
0.000698,2.601136
0.000699,2.604775
0.000700,2.608415
0.000701,2.612054
0.000702,2.615693
0.000703,2.619332
0.000704,2.622970
0.000705,2.626607
0.000706,2.630245
0.000707,2.633882
0.000708,2.637518
0.000709,2.641155
0.000710,2.644790
0.000711,2.648426
0.000712,2.652061
0.000713,2.655696
0.000714,2.659330
0.000715,2.662964
0.000716,2.666598
0.000717,2.670231
0.000718,2.673864
0.000719,2.677496
0.000720,2.681128
0.000721,2.684760
0.000722,2.688391
0.000723,2.692022
0.000724,2.695653
0.000725,2.699283
0.000726,2.702913
0.000727,2.706542
0.000728,2.710171
0.000729,2.713800
0.000730,2.717428
0.000731,2.721056
0.000732,2.724683
0.000733,2.728310
0.000734,2.731937
0.000735,2.735563
0.000736,2.739189
0.000737,2.742815
0.000738,2.746440
0.000739,2.750065
0.000740,2.753689
0.000741,2.757313
0.000742,2.760937
0.000743,2.764560
0.000744,2.768183
0.000745,2.771805
0.000746,2.775427
0.000747,2.779049
0.000748,2.782670
0.000749,2.786291
0.000750,2.789911
0.000751,2.793531
0.000752,2.797151
0.000753,2.800770
0.000754,2.804389
0.000755,2.808007
0.000756,2.811625
0.000757,2.815243
0.000758,2.818860
0.000759,2.822477
0.000760,2.826093
0.000761,2.829709
0.000762,2.833325
0.000763,2.836940
0.000764,2.840555
0.000765,2.844169
0.000766,2.847784
0.000767,2.851397
0.000768,2.855010
0.000769,2.858623
0.000770,2.862236
0.000771,2.865847
0.000772,2.869459
0.000773,2.873070
0.000774,2.876681
0.000775,2.880291
0.000776,2.883901
0.000777,2.887511
0.000778,2.891120
0.000779,2.894729
0.000780,2.898337
0.000781,2.901945
0.000782,2.905552
0.000783,2.909159
0.000784,2.912766
0.000785,2.916372
0.000786,2.919978
0.000787,2.923584
0.000788,2.927189
0.000789,2.930793
0.000790,2.934397
0.000791,2.938001
0.000792,2.941604
0.000793,2.945207
0.000794,2.948810
0.000795,2.952412
0.000796,2.956013
0.000797,2.959615
0.000798,2.963215
0.000799,2.966816
0.000800,2.970416
0.000801,2.974015
0.000802,2.977614
0.000803,2.981213
0.000804,2.984811
0.000805,2.988409
0.000806,2.992007
0.000807,2.995604
0.000808,2.999200
0.000809,3.002796
0.000810,3.006392
0.000811,3.009987
0.000812,3.013582
0.000813,3.017177
0.000814,3.020771
0.000815,3.024364
0.000816,3.027958
0.000817,3.031550
0.000818,3.035143
0.000819,3.038734
0.000820,3.042326
0.000821,3.045917
0.000822,3.049507
0.000823,3.053097
0.000824,3.056687
0.000825,3.060276
0.000826,3.063865
0.000827,3.067454
0.000828,3.071042
0.000829,3.074629
0.000830,3.078216
0.000831,3.081803
0.000832,3.085389
0.000833,3.088975
0.000834,3.092560
0.000835,3.096145
0.000836,3.099729
0.000837,3.103313
0.000838,3.106897
0.000839,3.110480
0.000840,3.114063
0.000841,3.117645
0.000842,3.121227
0.000843,3.124808
0.000844,3.128389
0.000845,3.131970
0.000846,3.135550
0.000847,3.139129
0.000848,3.142708
0.000849,3.146287
0.000850,3.149865
0.000851,3.153443
0.000852,3.157020
0.000853,3.160597
0.000854,3.164174
0.000855,3.167750
0.000856,3.171325
0.000857,3.174900
0.000858,3.178475
0.000859,3.182049
0.000860,3.185623
0.000861,3.189196
0.000862,3.192769
0.000863,3.196341
0.000864,3.199913
0.000865,3.203485
0.000866,3.207056
0.000867,3.210626
0.000868,3.214196
0.000869,3.217766
0.000870,3.221335
0.000871,3.224904
0.000872,3.228472
0.000873,3.232040
0.000874,3.235607
0.000875,3.239174
0.000876,3.242741
0.000877,3.246307
0.000878,3.249872
0.000879,3.253437
0.000880,3.257002
0.000881,3.260566
0.000882,3.264129
0.000883,3.267693
0.000884,3.271255
0.000885,3.274818
0.000886,3.278379
0.000887,3.281941
0.000888,3.285502
0.000889,3.289062
0.000890,3.292622
0.000891,3.296181
0.000892,3.299740
0.000893,3.303299
0.000894,3.306857
0.000895,3.310415
0.000896,3.313972
0.000897,3.317528
0.000898,3.321085
0.000899,3.324640
0.000900,3.328195
0.000901,3.331750
0.000902,3.335304
0.000903,3.338858
0.000904,3.342412
0.000905,3.345964
0.000906,3.349517
0.000907,3.353069
0.000908,3.356620
0.000909,3.360171
0.000910,3.363722
0.000911,3.367272
0.000912,3.370821
0.000913,3.374370
0.000914,3.377919
0.000915,3.381467
0.000916,3.385014
0.000917,3.388562
0.000918,3.392108
0.000919,3.395654
0.000920,3.399200
0.000921,3.402745
0.000922,3.406290
0.000923,3.409834
0.000924,3.413378
0.000925,3.416921
0.000926,3.420464
0.000927,3.424006
0.000928,3.427548
0.000929,3.431089
0.000930,3.434630
0.000931,3.438170
0.000932,3.441710
0.000933,3.445250
0.000934,3.448788
0.000935,3.452327
0.000936,3.455865
0.000937,3.459402
0.000938,3.462939
0.000939,3.466475
0.000940,3.470011
0.000941,3.473547
0.000942,3.477082
0.000943,3.480616
0.000944,3.484150
0.000945,3.487683
0.000946,3.491216
0.000947,3.494749
0.000948,3.498281
0.000949,3.501812
0.000950,3.505343
0.000951,3.508874
0.000952,3.512404
0.000953,3.515933
0.000954,3.519462
0.000955,3.522991
0.000956,3.526518
0.000957,3.530046
0.000958,3.533573
0.000959,3.537099
0.000960,3.540625
0.000961,3.544151
0.000962,3.547676
0.000963,3.551200
0.000964,3.554724
0.000965,3.558248
0.000966,3.561770
0.000967,3.565293
0.000968,3.568815
0.000969,3.572336
0.000970,3.575857
0.000971,3.579377
0.000972,3.582897
0.000973,3.586417
0.000974,3.589936
0.000975,3.593454
0.000976,3.596972
0.000977,3.600489
0.000978,3.604006
0.000979,3.607522
0.000980,3.611038
0.000981,3.614553
0.000982,3.618068
0.000983,3.621582
0.000984,3.625096
0.000985,3.628609
0.000986,3.632122
0.000987,3.635634
0.000988,3.639146
0.000989,3.642657
0.000990,3.646168
0.000991,3.649678
0.000992,3.653187
0.000993,3.656697
0.000994,3.660205
0.000995,3.663713
0.000996,3.667221
0.000997,3.670728
0.000998,3.674234
0.000999,3.677740
0.001000,3.681246
0.001001,3.684750
0.001002,3.688255
0.001003,3.691759
0.001004,3.695262
0.001005,3.698765
0.001006,3.702267
0.001007,3.705769
0.001008,3.709270
0.001009,3.712771
0.001010,3.716271
0.001011,3.719771
0.001012,3.723270
0.001013,3.726768
0.001014,3.730266
0.001015,3.733764
0.001016,3.737261
0.001017,3.740757
0.001018,3.744253
0.001019,3.747749
0.001020,3.751244
0.001021,3.754738
0.001022,3.758232
0.001023,3.761725
0.001024,3.765218
0.001025,3.768710
0.001026,3.772202
0.001027,3.775693
0.001028,3.779184
0.001029,3.782674
0.001030,3.786163
0.001031,3.789652
0.001032,3.793141
0.001033,3.796628
0.001034,3.800116
0.001035,3.803603
0.001036,3.807089
0.001037,3.810575
0.001038,3.814060
0.001039,3.817545
0.001040,3.821029
0.001041,3.824512
0.001042,3.827995
0.001043,3.831478
0.001044,3.834960
0.001045,3.838441
0.001046,3.841922
0.001047,3.845402
0.001048,3.848882
0.001049,3.852361
0.001050,3.855840
0.001051,3.859318
0.001052,3.862796
0.001053,3.866273
0.001054,3.869749
0.001055,3.873225
0.001056,3.876700
0.001057,3.880175
0.001058,3.883649
0.001059,3.887123
0.001060,3.890596
0.001061,3.894069
0.001062,3.897541
0.001063,3.901013
0.001064,3.904484
0.001065,3.907954
0.001066,3.911424
0.001067,3.914893
0.001068,3.918362
0.001069,3.921830
0.001070,3.925298
0.001071,3.928765
0.001072,3.932231
0.001073,3.935697
0.001074,3.939162
0.001075,3.942627
0.001076,3.946092
0.001077,3.949555
0.001078,3.953018
0.001079,3.956481
0.001080,3.959943
0.001081,3.963404
0.001082,3.966865
0.001083,3.970326
0.001084,3.973785
0.001085,3.977245
0.001086,3.980703
0.001087,3.984161
0.001088,3.987619
0.001089,3.991076
0.001090,3.994532
0.001091,3.997988
0.001092,4.001443
0.001093,4.004898
0.001094,4.008352
0.001095,4.011805
0.001096,4.015258
0.001097,4.018711
0.001098,4.022162
0.001099,4.025614
0.001100,4.029064
0.001101,4.032514
0.001102,4.035964
0.001103,4.039413
0.001104,4.042861
0.001105,4.046309
0.001106,4.049756
0.001107,4.053203
0.001108,4.056649
0.001109,4.060095
0.001110,4.063539
0.001111,4.066984
0.001112,4.070428
0.001113,4.073871
0.001114,4.077313
0.001115,4.080755
0.001116,4.084197
0.001117,4.087638
0.001118,4.091078
0.001119,4.094518
0.001120,4.097957
0.001121,4.101395
0.001122,4.104833
0.001123,4.108271
0.001124,4.111707
0.001125,4.115144
0.001126,4.118579
0.001127,4.122014
0.001128,4.125449
0.001129,4.128883
0.001130,4.132316
0.001131,4.135748
0.001132,4.139181
0.001133,4.142612
0.001134,4.146043
0.001135,4.149473
0.001136,4.152903
0.001137,4.156332
0.001138,4.159761
0.001139,4.163189
0.001140,4.166616
0.001141,4.170043
0.001142,4.173469
0.001143,4.176895
0.001144,4.180320
0.001145,4.183744
0.001146,4.187168
0.001147,4.190591
0.001148,4.194014
0.001149,4.197436
0.001150,4.200857
0.001151,4.204278
0.001152,4.207698
0.001153,4.211118
0.001154,4.214537
0.001155,4.217955
0.001156,4.221373
0.001157,4.224791
0.001158,4.228207
0.001159,4.231623
0.001160,4.235039
0.001161,4.238454
0.001162,4.241868
0.001163,4.245281
0.001164,4.248694
0.001165,4.252107
0.001166,4.255519
0.001167,4.258930
0.001168,4.262341
0.001169,4.265751
0.001170,4.269160
0.001171,4.272569
0.001172,4.275977
0.001173,4.279385
0.001174,4.282791
0.001175,4.286198
0.001176,4.289604
0.001177,4.293009
0.001178,4.296413
0.001179,4.299817
0.001180,4.303221
0.001181,4.306623
0.001182,4.310025
0.001183,4.313427
0.001184,4.316828
0.001185,4.320228
0.001186,4.323628
0.001187,4.327027
0.001188,4.330425
0.001189,4.333823
0.001190,4.337220
0.001191,4.340616
0.001192,4.344012
0.001193,4.347408
0.001194,4.350802
0.001195,4.354197
0.001196,4.357590
0.001197,4.360983
0.001198,4.364375
0.001199,4.367767
0.001200,4.371158
0.001201,4.374548
0.001202,4.377938
0.001203,4.381327
0.001204,4.384715
0.001205,4.388103
0.001206,4.391491
0.001207,4.394877
0.001208,4.398263
0.001209,4.401649
0.001210,4.405033
0.001211,4.408417
0.001212,4.411801
0.001213,4.415184
0.001214,4.418566
0.001215,4.421948
0.001216,4.425329
0.001217,4.428709
0.001218,4.432089
0.001219,4.435468
0.001220,4.438846
0.001221,4.442224
0.001222,4.445601
0.001223,4.448978
0.001224,4.452354
0.001225,4.455729
0.001226,4.459104
0.001227,4.462478
0.001228,4.465851
0.001229,4.469224
0.001230,4.472596
0.001231,4.475968
0.001232,4.479339
0.001233,4.482709
0.001234,4.486078
0.001235,4.489447
0.001236,4.492816
0.001237,4.496183
0.001238,4.499550
0.001239,4.502917
0.001240,4.506283
0.001241,4.509648
0.001242,4.513012
0.001243,4.516376
0.001244,4.519739
0.001245,4.523102
0.001246,4.526464
0.001247,4.529825
0.001248,4.533186
0.001249,4.536546
0.001250,4.539905
0.001251,4.543264
0.001252,4.546622
0.001253,4.549979
0.001254,4.553336
0.001255,4.556692
0.001256,4.560047
0.001257,4.563402
0.001258,4.566756
0.001259,4.570110
0.001260,4.573463
0.001261,4.576815
0.001262,4.580167
0.001263,4.583518
0.001264,4.586868
0.001265,4.590217
0.001266,4.593566
0.001267,4.596915
0.001268,4.600262
0.001269,4.603609
0.001270,4.606956
0.001271,4.610301
0.001272,4.613646
0.001273,4.616991
0.001274,4.620334
0.001275,4.623678
0.001276,4.627020
0.001277,4.630362
0.001278,4.633703
0.001279,4.637043
0.001280,4.640383
0.001281,4.643722
0.001282,4.647061
0.001283,4.650398
0.001284,4.653735
0.001285,4.657072
0.001286,4.660408
0.001287,4.663743
0.001288,4.667077
0.001289,4.670411
0.001290,4.673744
0.001291,4.677077
0.001292,4.680409
0.001293,4.683740
0.001294,4.687070
0.001295,4.690400
0.001296,4.693729
0.001297,4.697058
0.001298,4.700386
0.001299,4.703713
0.001300,4.707039
0.001301,4.710365
0.001302,4.713690
0.001303,4.717015
0.001304,4.720339
0.001305,4.723662
0.001306,4.726984
0.001307,4.730306
0.001308,4.733627
0.001309,4.736948
0.001310,4.740267
0.001311,4.743586
0.001312,4.746905
0.001313,4.750223
0.001314,4.753540
0.001315,4.756856
0.001316,4.760172
0.001317,4.763487
0.001318,4.766801
0.001319,4.770115
0.001320,4.773428
0.001321,4.776740
0.001322,4.780052
0.001323,4.783363
0.001324,4.786673
0.001325,4.789983
0.001326,4.793292
0.001327,4.796600
0.001328,4.799908
0.001329,4.803215
0.001330,4.806521
0.001331,4.809826
0.001332,4.813131
0.001333,4.816436
0.001334,4.819739
0.001335,4.823042
0.001336,4.826344
0.001337,4.829645
0.001338,4.832946
0.001339,4.836246
0.001340,4.839545
0.001341,4.842844
0.001342,4.846142
0.001343,4.849439
0.001344,4.852736
0.001345,4.856032
0.001346,4.859327
0.001347,4.862622
0.001348,4.865916
0.001349,4.869209
0.001350,4.872501
0.001351,4.875793
0.001352,4.879084
0.001353,4.882375
0.001354,4.885664
0.001355,4.888953
0.001356,4.892242
0.001357,4.895529
0.001358,4.898816
0.001359,4.902102
0.001360,4.905388
0.001361,4.908673
0.001362,4.911957
0.001363,4.915240
0.001364,4.918523
0.001365,4.921805
0.001366,4.925086
0.001367,4.928367
0.001368,4.931647
0.001369,4.934926
0.001370,4.938205
0.001371,4.941482
0.001372,4.944760
0.001373,4.948036
0.001374,4.951312
0.001375,4.954587
0.001376,4.957861
0.001377,4.961135
0.001378,4.964408
0.001379,4.967680
0.001380,4.970951
0.001381,4.974222
0.001382,4.977492
0.001383,4.980761
0.001384,4.984030
0.001385,4.987298
0.001386,4.990565
0.001387,4.993832
0.001388,4.997098
0.001389,5.000363
0.001390,5.003627
0.001391,5.006891
0.001392,5.010154
0.001393,5.013416
0.001394,5.016678
